family,task,target_tokens,run_name,position_label,n_seeds,mean,ci95_low,ci95_high,seed_estimates
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,base,p000,1,0.36000000000000004,,,[0.36000000000000004]
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,base,p010,1,0.22000000000000003,,,[0.22000000000000003]
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,base,p025,1,0.32,,,[0.32]
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,base,p050,1,0.32,,,[0.32]
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,base,p075,1,0.18,,,[0.18]
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,base,p090,1,0.24000000000000005,,,[0.24000000000000005]
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,base,p100,1,0.27999999999999997,,,[0.27999999999999997]
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,independent_answer,p000,3,0.30666666666666664,0.051693996148606924,0.5616393371847264,"[0.41999999999999993, 0.22000000000000003, 0.28]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,independent_answer,p010,3,0.14,-0.08769335783021873,0.3676933578302187,"[0.24000000000000005, 0.06, 0.12000000000000002]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,independent_answer,p025,3,0.17333333333333334,-0.20615559638369785,0.5528222630503645,"[0.34, 0.04, 0.13999999999999999]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,independent_answer,p050,3,0.19333333333333333,-0.061639337184726556,0.4483060038513932,"[0.27999999999999997, 0.08, 0.22000000000000003]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,independent_answer,p075,3,0.17333333333333334,-0.05071669570284221,0.3973833623695089,"[0.26, 0.08, 0.18]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,independent_answer,p090,3,0.13333333333333333,-0.11675122872074026,0.3834178953874069,"[0.24, 0.04, 0.12]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,independent_answer,p100,3,0.22666666666666666,-0.12584099496795811,0.5791743283012915,"[0.38, 0.1, 0.19999999999999998]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,paired_answer,p000,3,0.16666666666666666,-0.13283092605228072,0.466164259385614,"[0.04, 0.18, 0.28]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,paired_answer,p010,3,0.013333333333333334,-0.04404,0.07070666666666667,"[0.0, 0.04, 0.0]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,paired_answer,p025,3,0.04666666666666667,-0.1130539336883839,0.20638726702171722,"[0.0, 0.02, 0.12000000000000002]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,paired_answer,p050,3,0.09333333333333334,-0.2261078673767678,0.41277453404343445,"[0.0, 0.04, 0.24000000000000005]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,paired_answer,p075,3,0.06,-0.07145882143596655,0.19145882143596654,"[0.0, 0.08, 0.1]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,paired_answer,p090,3,0.03333333333333333,-0.07009791425547698,0.13676458092214364,"[0.0, 0.02, 0.08]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,paired_answer,p100,3,0.09333333333333334,-0.13071669570284228,0.3173833623695089,"[0.0, 0.1, 0.18000000000000002]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,independent_evidence_id,p000,3,0.5666666666666665,0.406946066311616,0.7263872670217171,"[0.6399999999999999, 0.5399999999999999, 0.5199999999999999]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,independent_evidence_id,p010,3,0.3866666666666667,0.3107688807232604,0.462564452610073,"[0.42000000000000004, 0.38, 0.36]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,independent_evidence_id,p025,3,0.3666666666666667,0.24162438563962985,0.49170894769370355,"[0.36, 0.32, 0.42000000000000004]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,independent_evidence_id,p050,3,0.45999999999999996,0.28085182408594467,0.6391481759140553,"[0.4800000000000001, 0.38, 0.5199999999999999]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,independent_evidence_id,p075,3,0.29333333333333333,0.10522228019952329,0.4814443864671434,"[0.38, 0.25999999999999995, 0.24000000000000005]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,independent_evidence_id,p090,3,0.3133333333333333,0.13883915221417836,0.48782751445248823,"[0.24, 0.32, 0.38]"
Mistral-7B-v0.3,case_weighted_nolima_hard,1024,independent_evidence_id,p100,3,0.5133333333333333,0.4374355473899273,0.5892311192767393,"[0.5399999999999999, 0.5199999999999999, 0.4800000000000001]"
